Image Path,Total Motors,Small Motors,Large Motors,Small Motor %,Large Motor %,Image Type
data/raw/old/Motor_Small motor_011.jpg,18,16,2,88.9,11.1,Mixed motors
data/raw/old/Motor_Small motor_010.jpg,13,11,2,84.6,15.4,Mixed motors
data/raw/old/Motor_Small motor_014.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/old/Motor_Small motor_015.jpg,9,3,6,33.3,66.7,Mixed motors
data/raw/old/Shredded material_Zorba large_004.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_005.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/old/Shredded material_Zorba large_007.jpg,9,9,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_006.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/old/Motor_Small Motor_041.jpg,4,3,1,75.0,25.0,Mixed motors
data/raw/old/Shredded material_Zorba large_002.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/old/Shredded material_Zorba large_003.jpg,8,8,0,100.0,0.0,Mixed motors
data/raw/old/Shredded material_Zorba large_001.jpg,1,1,0,100.0,0.0,Single motor
data/raw/old/Motor_Small motor_018.jpg,3,1,2,33.3,66.7,Mixed motors
data/raw/old/Motor_Small motor_019.jpg,1,0,1,0.0,100.0,Single motor
data/raw/old/Motor_Small motor_031.jpg,8,4,4,50.0,50.0,Mixed motors
data/raw/old/Motor_Small motor_009.jpg,6,3,3,50.0,50.0,Mixed motors
data/raw/old/Motor_Small motor_021.jpg,10,8,2,80.0,20.0,Mixed motors
data/raw/old/Motor_Small motor_035.jpg,6,5,1,83.3,16.7,Mixed motors
data/raw/old/Motor_Small motor_034.jpg,5,4,1,80.0,20.0,Mixed motors
data/raw/old/Motor_Small motor_008.jpg,13,9,4,69.2,30.8,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_054_jpg.rf.af61500f1c4d315abf2f240f250e4b99.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_058_jpg.rf.3a2b16e982a62e1707069b5556dbb190.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_086_jpg.rf.f1b61069600a67d5c7ce0ff4a912d011.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_052_jpg.rf.827e70295d7b830d10775fd1f9dc2f7a.jpg,6,6,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_011_jpg.rf.658b6b9c307ef37945144b5603d17f63.jpg,10,9,1,90.0,10.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_075_jpg.rf.751c1dde44d55148c57ba2934bed390c.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_074_jpg.rf.537081b30dfcf1f59cfdc103366c45c3.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_015_jpg.rf.78f310ea320f0e96de4d55667acefe00.jpg,6,2,4,33.3,66.7,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_053_jpg.rf.c30a7b3104cf2979dbfab206f466cf44.jpg,3,2,1,66.7,33.3,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_062_jpg.rf.48d623049c54e808b24ca38431785872.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_076_jpg.rf.8fde56650f86087de0c80d7d0e24961e.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_056_jpg.rf.8be182a3ac92191a8189a6f4e5037dcb.jpg,7,7,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_055_jpg.rf.843dbff672978398b20d757034a59815.jpg,5,5,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_089_jpg.rf.a4d3acabdd503cba1cea1045f56844d1.jpg,1,0,1,0.0,100.0,Single motor
data/raw/new/Small motor/Motor_Small-motor_060_jpg.rf.5ad104190ae8e1f91a916e8cf2b5cf5a.jpg,10,10,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_063_jpg.rf.4fef012fc88c0898b560b9631a798cd6.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_017_jpg.rf.6cd374b7bb21f7428611af5c36cd797b.jpg,4,3,1,75.0,25.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_088_jpg.rf.60b83c6420d14aad4d8c289d2aa3e9d5.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_073_jpg.rf.b25de851f0d460b096a175ac2c4eb3d7.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Small motor/Motor_Small-motor_064_jpg.rf.c656474b8e4c50748075f770d80bcd8e.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_082_jpg.rf.f3def68663ea0a9813876f896f925b78.jpg,7,7,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_050_jpg.rf.39dd10156a16bbf2fb5f9fdc403278dd.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_034_jpg.rf.6ae58d466f9c1ecaa4b8752b67b00927.jpg,2,1,1,50.0,50.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_057_jpg.rf.66afb0c0ad6537f18c73553be313f64e.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_024_jpg.rf.64187c588d267dbe19a74bea2dc0e5b9.jpg,12,11,1,91.7,8.3,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_051_jpg.rf.baf55982d7f0a648f3329e9e9df8990b.jpg,12,11,1,91.7,8.3,Mixed motors
data/raw/new/Small motor/Motor_Small-motor_080_jpg.rf.6b819244a6480529b6ba43e86479f698.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_041_jpg.rf.cb1d1179156cfd4ef49822a6f3657197.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_020_jpg.rf.7ff7521d603f0bb48632860b02d90573.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_054_jpg.rf.4a581b3a89f530715eddd1658b52a594.jpg,4,4,0,100.0,0.0,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_013_jpg.rf.75e980c2ecc9ac2780c1c181daeb6ebb.jpg,1,0,1,0.0,100.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_032_jpg.rf.72269f69f3615851acf75229c853578f.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_040_jpg.rf.4cf3f8fb50b2eed30aaadb5e56038917.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_024_jpg.rf.5f503983c71157ca0b3e918c33ba7fb5.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_009_jpg.rf.870f048c2b4679033bb2f97d295861c2.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_059_jpg.rf.0437cb7bc244ce6f805eb908891ff4bd.jpg,5,5,0,100.0,0.0,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_042_jpg.rf.e5a1392ebfa79ca86c5dff477b3e98e7.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_029_jpg.rf.e430842a993d1ebdc568e670af006285.jpg,6,5,1,83.3,16.7,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_034_jpg.rf.d0c4fd1a9041f197e92e488e2b5f89ae.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_051_jpg.rf.0786be8b7bcfd31e88eac713de7eb28d.jpg,4,3,1,75.0,25.0,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_052_jpg.rf.9d5ac8de3dd86725c47f66b6c0dc5eca.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_033_jpg.rf.2fb44e95837903905ca88cc17604c0fd.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_011_jpg.rf.faee8a40adda655814c41a6a6a9c8aeb.jpg,1,0,1,0.0,100.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_016_jpg.rf.d74696766928b5c42597990462b3014e.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_015_jpg.rf.b6382b6f578fe66744510046b33e5b5e.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_035_jpg.rf.e3f5b0ea53f75eb470ff3d53e3618bc9.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_010_jpg.rf.41ed86ec36469944bd3ccc0b6a44f0d5.jpg,5,3,2,60.0,40.0,Mixed motors
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_064_jpg.rf.8f239b21a16327141313b9365321255f.jpg,0,0,0,0.0,0.0,No motors detected (likely single/blurry)
data/raw/new/Alternator stator small/Motor_Alternator-stator-small_043_jpg.rf.49195f86c7d28bb7983e76b869db487a.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_077_jpg.rf.6d96b01dc5f80d7d0d1c602d07ba7a8e.jpg,2,2,0,100.0,0.0,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_088_jpg.rf.2d594c81ab5a4dd6a041602e5f69d307.jpg,5,3,2,60.0,40.0,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_090_jpg.rf.829fb256eaca01940a762d9d7d05f361.jpg,5,4,1,80.0,20.0,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_099_jpg.rf.2b8f9e6cfa44979856db2dcbc0aaec91.jpg,1,1,0,100.0,0.0,Single motor
data/raw/new/Large motor/Motor_Large-motor_043_jpg.rf.b1344d4cdd586e2de6b4b1bbdf685fee.jpg,8,5,3,62.5,37.5,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_097_jpg.rf.6c0051bdacb4f2c280d60bd910828c2f.jpg,4,2,2,50.0,50.0,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_075_jpg.rf.4a379b160231e4b8359ea92244b838ea.jpg,6,4,2,66.7,33.3,Mixed motors
data/raw/new/Large motor/Motor_Large-motor_056_jpg.rf.80b3951ece6243ee809ac192853149d1.jpg,4,2,2,50.0,50.0,Mixed motors
